# Derived from plans/adr/ by scripts/check_adr_anchors.py --write.
# plans/ never travels with an export (rule R2), so this copy is what the
# public `gates` job reads. Do not hand-edit: regenerate it in the same
# commit as the ADR change. The private tree fails if the two diverge.
adr	status	anchor_home	target
0001-header-model-lifetime-and-contract-interface.md	accepted	self	code:pub struct Headers
0001-header-model-lifetime-and-contract-interface.md	accepted	self	test:modifier_set_context_promotes_hop_value
0001-header-model-lifetime-and-contract-interface.md	accepted	self	test:consumes_block_parses_context_and_hop
0001-header-model-lifetime-and-contract-interface.md	accepted	self	test:the_two_inbound_compartments_do_not_cross
0002-kanal-talky-generation-und-das-publikum-einer-erinnerung.md	accepted	README	test:the_brief_answers_a_disclosed_audience_and_a_stranger_gets_nothing
0002-kanal-talky-generation-und-das-publikum-einer-erinnerung.md	accepted	README	test:the_edge_pinned_audience_set_is_a_round_in_both_directions
0003-rust-toolchain-floating-stable.md	accepted	self	file:rust-toolchain.toml#channel = "stable"
0004-bounded-mailboxes-block-by-default.md	accepted	self	test:bounded_mailbox_blocks_send_when_full_then_unblocks_on_drain
0004-bounded-mailboxes-block-by-default.md	accepted	self	code:mailbox_default_capacity
0004-bounded-mailboxes-block-by-default.md	accepted	self	code:fn enqueue_hive_transit
0005-blobs-live-colony-wide.md	accepted	self	code:pub struct DiskBlobStore
0005-blobs-live-colony-wide.md	accepted	self	code:cli.root.join("blobs")
0005-blobs-live-colony-wide.md	accepted	self	test:parses_api_daemon_validate_blobs_flags
0006-one-manager-task-per-cell.md	accepted	self	code:pub async fn cell_task_stateful
0006-one-manager-task-per-cell.md	accepted	self	test:one_shot_cell_despawns_after_each_handle_to_asleep_counter_increments
0006-one-manager-task-per-cell.md	accepted	self	test:boot_active_lazy_cell_wakes_on_first_message
0007-collector-is-a-code-cell-not-a-cell-type.md	accepted	self	code:multi_send_capable
0007-collector-is-a-code-cell-not-a-cell-type.md	accepted	self	test:contract_violation_multi_send_not_declared
0008-colony-json-and-strict-validation.md	accepted	self	code:pub(crate) fn resolve_validate_emits
0008-colony-json-and-strict-validation.md	accepted	self	test:effective_validate_emits_resolves_knob_chain
0008-colony-json-and-strict-validation.md	accepted	self	code:pub strict_validation
0009-routing-failures-dead-letter.md	accepted	self	code:pub enum DeadLetterReason
0009-routing-failures-dead-letter.md	accepted	self	test:dead_letter_survives_colony_restart
0009-routing-failures-dead-letter.md	accepted	self	test:push_dead_letter_keeps_all_entries_no_drop_oldest
0010-universal-body-stays-a-json-value.md	accepted	self	code:pub enum Body
0010-universal-body-stays-a-json-value.md	accepted	self	test:inline_variant_round_trips_value
0010-universal-body-stays-a-json-value.md	accepted	self	code:pub fn validate_ubf_body
0010-universal-body-stays-a-json-value.md	accepted	self	test:turn_object_user_text_is_valid
0011-composition-reference.md	accepted	self	test:parse_subtree_places_the_referenced_templates_content_at_the_ref_position
0011-composition-reference.md	accepted	self	code:pub struct NodeProvenance
0011-composition-reference.md	accepted	self	code:NodeProvenance::template_chain
0012-per-turn-extraction-and-what-is-left-of-the-drain.md	accepted	self	test:the_day_leaves_as_one_message_per_turn_in_the_order_it_happened
0012-per-turn-extraction-and-what-is-left-of-the-drain.md	accepted	self	test:the_same_turn_twice_writes_no_second_episode
0012-per-turn-extraction-and-what-is-left-of-the-drain.md	accepted	self	test:two_turns_of_one_session_carry_two_different_speakers
0013-a-level-owns-what-its-siblings-must-share.md	accepted	self	test:the_level_wires_the_screen_the_memory_and_the_record
0013-a-level-owns-what-its-siblings-must-share.md	accepted	self	test:c_a_second_assistant_is_one_instantiation_with_its_own_parameters
0013-a-level-owns-what-its-siblings-must-share.md	accepted	self	test:the_level_ships_three_refs_and_no_container
0013-a-level-owns-what-its-siblings-must-share.md	accepted	self	test:d_a_second_channel_is_one_instantiation_in_the_member
0013-a-level-owns-what-its-siblings-must-share.md	accepted	self	test:every_config_in_the_level_is_a_hive_and_there_are_exactly_two
0013-a-level-owns-what-its-siblings-must-share.md	accepted	self	test:no_shipped_template_directory_takes_a_name_from_the_substrate_glossary
0013-a-level-owns-what-its-siblings-must-share.md	accepted	self	test:neither_container_declares_a_contract_because_the_level_wires_them
0013-a-level-owns-what-its-siblings-must-share.md	accepted	self	test:the_member_declares_the_lanes_that_cross_its_boundary
0013-a-level-owns-what-its-siblings-must-share.md	accepted	self	file:templates/member/README.md#a level owns what its siblings must share
0014-the-web-cell-owns-its-listener.md	accepted	self	test:a_web_cell_serves_its_shell_on_its_own_port
0014-the-web-cell-owns-its-listener.md	accepted	self	test:two_web_cells_serve_two_ports_independently
0014-the-web-cell-owns-its-listener.md	accepted	self	test:registry_wires_proxy_timer_mcp_factories
0015-the-builder-belongs-to-the-os-level.md	accepted	self	test:the_shell_holds_five_refs_and_one_empty_container
0015-the-builder-belongs-to-the-os-level.md	accepted	self	test:no_config_in_the_builder_draws_an_edge_onto_the_control_plane
0015-the-builder-belongs-to-the-os-level.md	accepted	self	test:no_config_in_the_builder_draws_an_edge_onto_the_mutation_door
0015-the-builder-belongs-to-the-os-level.md	accepted	self	test:no_script_in_the_builder_spells_the_mutation_door
0015-the-builder-belongs-to-the-os-level.md	accepted	self	test:a_manifest_whose_bytes_changed_is_refused_by_name
0015-the-builder-belongs-to-the-os-level.md	accepted	self	test:the_digest_helper_is_identical_in_every_script_that_carries_it
0015-the-builder-belongs-to-the-os-level.md	accepted	self	test:the_requester_is_taken_from_the_envelope_and_never_from_the_body
0015-the-builder-belongs-to-the-os-level.md	accepted	self	file:templates/builder/README.md#This hive drafts and never applies
0016-a-shutdown-is-a-loop-phase-not-a-break.md	accepted	self	test:a_batch_pipe_delivers_every_answer_after_eof
